IdNumber,Name,Province,EstablishedDate,ClosingDate,PageError,ParsingError
31,Fairmount Avenue (sub office),Quebec,1901-07-01T00:00:00Z,,,
32,La Couronne,Quebec,1930-07-22T00:00:00Z,1933-02-07T00:00:00Z,,
33,Carbonneau,Quebec,1924-07-01T00:00:00Z,,,
34,Foyer Maria Chapdelaine (summer office),Quebec,1938-07-05T00:00:00Z,1949-09-15T00:00:00Z,,
35,Larose Station,Quebec,1898-12-01T00:00:00Z,1906-08-13T00:00:00Z,,
36,La Renaudière,Quebec,1906-03-01T00:00:00Z,1951-10-27T00:00:00Z,,
37,La Richardière,Quebec,1927-10-01T00:00:00Z,,,
38,Laroche,Quebec,1891-12-01T00:00:00Z,1915-06-07T00:00:00Z,,
39,Larose,Quebec,1913-05-15T00:00:00Z,1914-05-04T00:00:00Z,,
40,Larochelle (summer office),Quebec,1960-06-15T00:00:00Z,1960-09-15T00:00:00Z,,
41,Larochelle,Quebec,1864-02-01T00:00:00Z,1914-10-23T00:00:00Z,,
42,L'Artifice,Quebec,1900-10-01T00:00:00Z,,,
43,Châteauguay Station,Quebec,1947-07-04T00:00:00Z,,,
44,Francoeurville,Quebec,1908-09-01T00:00:00Z,1914-10-31T00:00:00Z,,
45,La Guerre,Quebec,1842-07-06T00:00:00Z,,,
46,Lajeunesse,Quebec,1879-10-01T00:00:00Z,,,
47,Lake Aylmer,Quebec,1862-11-01T00:00:00Z,1963-05-31T00:00:00Z,,
48,Chute Ste. Ursule,Quebec,1905-07-01T00:00:00Z,1916-11-25T00:00:00Z,,
49,Shipshaw,Quebec,1909-12-01T00:00:00Z,,,
50,Glen Villa (summer office),Quebec,1904-07-01T00:00:00Z,Around 1910 or 1911,,
51,Lake Beauport,Quebec,1859-05-01T00:00:00Z,,,
52,"Cité-de-Jacques Cartier-Longueuil Postal ""A""",Quebec,1852-01-01T00:00:00Z,,,
53,Lake Canorasset (summer office),Quebec,1917-07-01T00:00:00Z,1918-05-31T00:00:00Z,,
54,Lake Edward,Quebec,1889-11-01T00:00:00Z,,,
55,L'Anse St. Jean,Quebec,1862-07-01T00:00:00Z,1873-01-01T00:00:00Z,,
56,Grand Mère Cité,Quebec,1900-07-01T00:00:00Z,1931-01-03T00:00:00Z,,
57,Courcelette,Quebec,1950-10-23T00:00:00Z,1951-07-03T00:00:00Z,,
58,Courcelles,Quebec,1897-01-15T00:00:00Z,,,
59,Courchesne,Quebec,1949-03-16T00:00:00Z,1954-12-14T00:00:00Z,,
60,La Paix,Quebec,1912-03-01T00:00:00Z,1916-06-17T00:00:00Z,,
61,Grand Mère Village,Quebec,1900-07-01T00:00:00Z,,,
62,Cournoyer,Quebec,1910-06-15T00:00:00Z,,,
63,Grand Mère-Sub no. 3,Quebec,1964-08-17T00:00:00Z,,,
64,Cousineau,Quebec,1895-09-01T00:00:00Z,1929-03-31T00:00:00Z,,
65,Grand Mère-Sub no. 4,Quebec,1966-09-26T00:00:00Z,,,
66,Couture,Quebec,1935-03-15T00:00:00Z,,,
67,Fame Point,Quebec,1913-04-01T00:00:00Z,1957-10-21T00:00:00Z,,
68,Farewell Cove,Quebec,1919-05-01T00:00:00Z,,,
69,Cariboo Islands,Quebec,1893-09-01T00:00:00Z,,,
70,Farley,Quebec,1923-09-24T00:00:00Z,,,
71,Carignan,Quebec,1927-11-07T00:00:00Z,1960-04-30T00:00:00Z,,
72,Lac-Lasalle (summer office),Quebec,1939-07-01T00:00:00Z,,,
74,Lac Leroux (summer office),Quebec,1907-06-01T00:00:00Z,,,
76,Châteauguay Sub no.1,Quebec,1959-03-23T00:00:00Z,,,
77,Châteauguay Sub no.2,Quebec,1959-03-12T00:00:00Z,1964-10-14T00:00:00Z,,
78,Larue,Quebec,1935-11-08T00:00:00Z,1938-11-14T00:00:00Z,,
79,Châteauguay Sub no.3,Quebec,1947-07-04T00:00:00Z,1961-08-12T00:00:00Z,,
80,La Société,Quebec,1912-04-22T00:00:00Z,1948-06-12T00:00:00Z,,
81,Frasers Point (summer office),Quebec,1914-06-01T00:00:00Z,1930-09-14T00:00:00Z,,
82,Latourelle,Quebec,1910-01-15T00:00:00Z,,,
83,Lake Etchemin,Quebec,1866-03-01T00:00:00Z,,,
84,Lake L'Achigan,Quebec,1912-07-06T00:00:00Z,1967-08-07T00:00:00Z,,
85,Cité de Jayaues Portier Sub no.12,Quebec,1947-10-16T00:00:00Z,1959-04-01T00:00:00Z,,
86,Lake Matapédia,Quebec,1867-10-01T00:00:00Z,1869-11-06T00:00:00Z,,
87,Lake Megantic,Quebec,1889-10-01T00:00:00Z,,,
88,Lake St. Joseph Hotel (summer office),Quebec,1906-08-01T00:00:00Z,1909-12-09T00:00:00Z,,
89,Lake St. Charles,Quebec,1904-10-01T00:00:00Z,,,
90,Lake St. Mary,Quebec,1882-07-01T00:00:00Z,,,
91,Lakeside,Quebec,1899-06-01T00:00:00Z,,,
92,Grand Mère Sub no. 5,Quebec,1857-11-01T00:00:00Z,1858-07-01T00:00:00Z,,
93,La Patrie,Quebec,1875-06-01T00:00:00Z,,,
94,La Petite Rivière,Quebec,1882-10-01T00:00:00Z,,,
96,Couturval,Quebec,1905-10-01T00:00:00Z,1946-06-16T00:00:00Z,,
97,Cowan's,Quebec,1896-12-01T00:00:00Z,1913-12-15T00:00:00Z,,
98,Lapierre,Quebec,1928-05-14T00:00:00Z,1959-06-30T00:00:00Z,,
99,Grand-Mère Sub no. 6,Quebec,1972-03-06T00:00:00Z,1977-01-31T00:00:00Z,,
100,Lapigeonnière,Quebec,1854-07-01T00:00:00Z,,,
101,Lac-Paquin (summer office),Quebec,1913-08-01T00:00:00Z,1964-08-31T00:00:00Z,,
102,Carleton Centre,Quebec,1904-09-01T00:00:00Z,1966-12-31T00:00:00Z,,
103,Carleton Ouest,Quebec,1916-07-01T00:00:00Z,1957-05-23T00:00:00Z,,
104,Farnam's Corners,Quebec,1900-11-01T00:00:00Z,1913-09-30T00:00:00Z,,
105,Carleton West,Quebec,1887-03-01T00:00:00Z,,,
106,Lac Pinault,Quebec,1924-02-26T00:00:00Z,1948-09-18T00:00:00Z,,
107,Carmel,Quebec,1889-11-01T00:00:00Z,1916-03-31T00:00:00Z,,
108,Lac Pauzé,Quebec,1934-06-29T00:00:00Z,,,
109,Caron,Quebec,1906-09-01T00:00:00Z,1914-07-31T00:00:00Z,,
110,Frechette,Quebec,1915-10-01T00:00:00Z,1932-03-01T00:00:00Z,,
111,Fréchette,Quebec,1882-04-01T00:00:00Z,,,
112,Châteauguay Sub no.5,Quebec,1963-03-15T00:00:00Z,,,
114,Châteauguay Sub no.6,Quebec,1973-06-05T00:00:00Z,,,
115,Châteauguay Sub no.7,Quebec,1972-04-20T00:00:00Z,1975-07-31T00:00:00Z,,
116,Frenette,Quebec,1912-08-01T00:00:00Z,1918-10-04T00:00:00Z,,
117,Frenette,Quebec,1927-09-19T00:00:00Z,,,
118,Latour's Mills,Quebec,1882-11-01T00:00:00Z,1893-07-01T00:00:00Z,,
119,Freshwater,Quebec,1911-10-01T00:00:00Z,1937-03-06T00:00:00Z,,
120,Châteauvert,Quebec,1887-07-01T00:00:00Z,,,
121,La Trinité des Monts,Quebec,1938-07-02T00:00:00Z,,,
122,Lake Temiscamingue,Quebec,1869-10-01T00:00:00Z,1891-08-01T00:00:00Z,,
123,Golden Bay,Quebec,1909-03-01T00:00:00Z,1915-10-07T00:00:00Z,,
124,Lake Témiscouata,Quebec,1852-07-06T00:00:00Z,1869-08-14T00:00:00Z,,
125,Goldwin,Quebec,1905-01-01T00:00:00Z,1914-03-31T00:00:00Z,,
126,Gordon Creek (summer office),Quebec,1889-09-01T00:00:00Z,,,
127,Lake View House (summer office),Quebec,1904-07-01T00:00:00Z,,,
128,Goshen Road,Quebec,1905-01-01T00:00:00Z,1916-06-30T00:00:00Z,,
129,Lake Wayagamac (summer office),Quebec,1908-08-15T00:00:00Z,1917-05-01T00:00:00Z,,
130,Goudronnerie,Quebec,1916-03-15T00:00:00Z,1918-06-10T00:00:00Z,,
131,Gould,Quebec,1851-10-06T00:00:00Z,,,
132,Lake Weedon,Quebec,1869-06-01T00:00:00Z,,,
133,Lake William,Quebec,1902-07-01T00:00:00Z,1937-07-31T00:00:00Z,,
134,Cowansville-Sub no.1,Quebec,1854-12-01T00:00:00Z,,,
135,Cowansville Sub no.2,Quebec,1969-01-21T00:00:00Z,1979-12-13T00:00:00Z,,
136,Crabtree Mills,Quebec,1906-06-01T00:00:00Z,,,
137,Grand-Pabos,Quebec,1869-12-01T00:00:00Z,1967-06-03T00:00:00Z,,
138,Grand Pabos Centre,Quebec,1910-05-01T00:00:00Z,,,
139,Lapointe Station,Quebec,1938-01-17T00:00:00Z,1958-04-24T00:00:00Z,,
140,Cranbourne,Quebec,1854-04-01T00:00:00Z,1946-05-11T00:00:00Z,,
141,Crawfordville,Quebec,1915-03-01T00:00:00Z,1931-03-31T00:00:00Z,,
142,Creemorne,Quebec,1884-04-01T00:00:00Z,1937-03-20T00:00:00Z,,
143,Farnham,Quebec,1845-07-06T00:00:00Z,,,
144,Carouge,Quebec,1854-09-01T00:00:00Z,,,
145,Carrier,Quebec,1871-03-01T00:00:00Z,1935-11-30T00:00:00Z,,
146,Carrier,Quebec,1907-07-01T00:00:00Z,,,
147,Lac Quinn (bureau d'été),Quebec,1946-06-10T00:00:00Z,,,
148,Carter,Quebec,1927-08-09T00:00:00Z,,,
149,Lac-Quenouille,Quebec,1927-06-01T00:00:00Z,1970-03-17T00:00:00Z,,
150,Cannes des Roches,Quebec,1936-08-01T00:00:00Z,,,
151,Casault,Quebec,1882-12-01T00:00:00Z,1929-12-14T00:00:00Z,,
152,Lac Renaud (summer office),Quebec,1917-08-01T00:00:00Z,1957-04-08T00:00:00Z,,
153,Lac Renault,Quebec,1911-12-01T00:00:00Z,1912-04-20T00:00:00Z,,
155,Chatham East,Quebec,1841-07-06T00:00:00Z,,,
156,Frontier,Quebec,1877-04-01T00:00:00Z,1913-09-30T00:00:00Z,,
157,Frost Village,Quebec,1885-03-01T00:00:00Z,1936-10-31T00:00:00Z,,
158,La Trappe,Quebec,1894-03-01T00:00:00Z,1969-08-09T00:00:00Z,,
160,Chaudière Mills,Quebec,1872-07-01T00:00:00Z,,,
161,La Tuque Junction,Quebec,1905-04-01T00:00:00Z,,,
162,Chaumont,Quebec,1884-08-01T00:00:00Z,,,
163,Laureat,Quebec,1911-08-16T00:00:00Z,1953-11-02T00:00:00Z,,
164,Chaumont,Quebec,1981-08-20T00:00:00Z,,,
165,Lalancette,Quebec,1910-03-01T00:00:00Z,1928-02-16T00:00:00Z,,
166,Lalemant,Quebec,1925-08-24T00:00:00Z,1931-07-01T00:00:00Z,,
167,Goupil,Quebec,1901-06-01T00:00:00Z,1916-03-07T00:00:00Z,,
168,Goupil,Quebec,1937-01-15T00:00:00Z,1947-06-03T00:00:00Z,,
169,Lalement,Quebec,1908-11-17T00:00:00Z,,,
170,Gouraud,Quebec,1915-11-15T00:00:00Z,,,
171,Laliberté,Quebec,1914-01-01T00:00:00Z,1915-10-12T00:00:00Z,,
172,Gourd,Quebec,1936-08-04T00:00:00Z,1952-05-31T00:00:00Z,,
173,L'Alverne,Quebec,1932-09-28T00:00:00Z,,,
174,Graddan's Hill,Quebec,1889-04-01T00:00:00Z,1889-05-01T00:00:00Z,,
175,Graham,Quebec,1893-09-01T00:00:00Z,,,
176,Lamarche,Quebec,1933-01-13T00:00:00Z,,,
177,Grand Plaque,Quebec,1938-07-06T00:00:00Z,1961-06-22T00:00:00Z,,
178,Crémazie,Quebec,1928-05-24T00:00:00Z,1936-12-10T00:00:00Z,,
179,La Ratière,Quebec,1908-06-01T00:00:00Z,1918-05-27T00:00:00Z,,
180,Larawls,Quebec,1911-07-01T00:00:00Z,1922-04-05T00:00:00Z,,
181,Cresthill,Quebec,1917-07-01T00:00:00Z,1920-09-30T00:00:00Z,,
182,Grand Pré,Quebec,1905-06-01T00:00:00Z,1915-09-27T00:00:00Z,,
183,Crossbury,Quebec,1889-12-01T00:00:00Z,1912-12-31T00:00:00Z,,
184,Grand Rang,Quebec,1894-04-01T00:00:00Z,1950-01-16T00:00:00Z,,
186,Crystal Falls,Quebec,1876-10-01T00:00:00Z,1915-07-31T00:00:00Z,,
187,Culduff,Quebec,1876-06-01T00:00:00Z,1932-02-05T00:00:00Z,,
188,Cascades Point,Quebec,1893-06-01T00:00:00Z,,,
189,La Croche,Quebec,1912-09-01T00:00:00Z,,,
190,Casgrain,Quebec,1925-02-17T00:00:00Z,1930-03-05T00:00:00Z,,
191,Cassville,Quebec,1887-02-01T00:00:00Z,1913-04-30T00:00:00Z,,
192,Farnham's Corners,Quebec,1900-11-01T00:00:00Z,1913-09-30T00:00:00Z,,
193,Fasset,Quebec,1906-06-22T00:00:00Z,,,
195,Faubourg St. Jean Baptiste,Quebec,1874-08-01T00:00:00Z,,,
196,Faucher,Quebec,1912-11-15T00:00:00Z,1939-12-01T00:00:00Z,,
197,Chazel,Quebec,1935-08-19T00:00:00Z,,,
198,Laurel,Quebec,1885-10-01T00:00:00Z,1970-05-29T00:00:00Z,,
199,Chelsea Falls,Quebec,1925-12-14T00:00:00Z,,,
200,Chemin Archambault,Quebec,1913-04-01T00:00:00Z,1915-06-17T00:00:00Z,,
201,Chemin Chapleau,Quebec,1903-06-01T00:00:00Z,1904-08-31T00:00:00Z,,
202,Laurence,Quebec,1904-09-01T00:00:00Z,1914-11-15T00:00:00Z,,
203,Lac Rocher (sub office),Quebec,1938-06-15T00:00:00Z,1959-08-31T00:00:00Z,,
204,Lac Rochu,Quebec,1926-11-23T00:00:00Z,1939-08-01T00:00:00Z,,
205,Lacroix,Quebec,1907-06-01T00:00:00Z,,,
206,Lacroix,Quebec,1911-09-01T00:00:00Z,1913-08-31T00:00:00Z,,
207,Lac Rond,Quebec,1886-06-01T00:00:00Z,,,
208,Gabelle,Quebec,1923-05-03T00:00:00Z,1960-08-11T00:00:00Z,,
209,La Mare,Quebec,1893-07-01T00:00:00Z,1923-04-06T00:00:00Z,,
210,Granada,Quebec,1936-04-22T00:00:00Z,,,
211,Cité de Jacques Cartier Sub no.20,Quebec,1961-07-25T00:00:00Z,1962-06-20T00:00:00Z,,
212,Granada Postal Agency no. 1,Quebec,1951-10-11T00:00:00Z,,,
213,Granboro,Quebec,1869-10-01T00:00:00Z,1913-12-01T00:00:00Z,,
214,Granby,Quebec,1826-01-01T00:00:00Z,,,
215,Granby-Sub Office no. 1,Quebec,1933-01-27T00:00:00Z,1936-03-31T00:00:00Z,,
216,Cité-de-Jacques-Cartier Sub no.22 P.2,Quebec,1961-01-11T00:00:00Z,1961-10-20T00:00:00Z,,
217,Cité-de-Jacques-Cartier Sub 22,Quebec,1964-05-11T00:00:00Z,,,
218,Culduff,Quebec,1883-04-01T00:00:00Z,,,
219,Grand-Ruisseau,Quebec,1926-12-01T00:00:00Z,1947-12-09T00:00:00Z,,
220,L'Ascension-de-Patapédia,Quebec,1938-02-05T00:00:00Z,,,
221,Cyr,Quebec,1909-01-01T00:00:00Z,1951-09-18T00:00:00Z,,
222,Grand St. Louis,Quebec,1896-05-01T00:00:00Z,1946-11-30T00:00:00Z,,
223,La Sarre,Quebec,1915-02-01T00:00:00Z,,,
224,Graphite City,Quebec,1877-08-01T00:00:00Z,1882-08-15T00:00:00Z,,
225,Grass Pond,Quebec,1867-04-01T00:00:00Z,,,
226,Gratten Lake (summer office),Quebec,1934-06-15T00:00:00Z,1935-09-14T00:00:00Z,,
227,Fauteux,Quebec,1934-07-06T00:00:00Z,1945-10-31T00:00:00Z,,
228,Fecteau's Mills,Quebec,1880-12-01T00:00:00Z,,,
229,Fer-à-Cheval,Quebec,1908-03-15T00:00:00Z,1908-10-03T00:00:00Z,,
230,Castlebar,Quebec,1854-01-01T00:00:00Z,1887-12-01T00:00:00Z,,
231,Castelnau,Quebec,1915-03-01T00:00:00Z,1941-07-21T00:00:00Z,,
232,Castelnau Ouest,Quebec,1930-06-01T00:00:00Z,,,
233,Castor,Quebec,1888-10-01T00:00:00Z,1890-09-30T00:00:00Z,,
234,Caughnawaga,Quebec,1853-04-01T00:00:00Z,,,
235,Ferme Rouge,Quebec,1910-04-01T00:00:00Z,1954-09-14T00:00:00Z,,
236,Cartier,Quebec,1885-08-01T00:00:00Z,1915-10-30T00:00:00Z,,
237,Gagnon,Quebec,1931-11-02T00:00:00Z,1949-07-11T00:00:00Z,,
238,Gagnon,Quebec,1960-06-20T00:00:00Z,,,
239,Gallant,Quebec,1940-02-12T00:00:00Z,1956-06-30T00:00:00Z,,
240,Gallix,Quebec,1936-12-01T00:00:00Z,,,
241,Lac-Ste-Croix,Quebec,1903-05-01T00:00:00Z,,,
242,Chemin Gouin,Quebec,1908-11-01T00:00:00Z,,,
243,Chemin Guay,Quebec,1939-08-21T00:00:00Z,1963-05-01T00:00:00Z,,
244,Lac St-Ignan,Quebec,1948-05-11T00:00:00Z,1955-12-01T00:00:00Z,,
245,Chemin Neuf,Quebec,1913-07-01T00:00:00Z,1956-10-29T00:00:00Z,,
246,Galson,Quebec,1881-12-01T00:00:00Z,1914-06-30T00:00:00Z,,
247,Lambton,Quebec,1852-04-06T00:00:00Z,,,
248,Granby Sub no. 2,Quebec,1951-08-21T00:00:00Z,,,
249,Granby Sub no. 3,Quebec,1954-12-13T00:00:00Z,,,
250,Granby Sub no. 4,Quebec,1954-12-14T00:00:00Z,,,
251,Granby Sub no. 5,Quebec,1959-01-07T00:00:00Z,1978-04-27T00:00:00Z,,
252,Lambton Station,Quebec,1897-01-15T00:00:00Z,,,
253,La Manufacture,Quebec,1913-06-09T00:00:00Z,1916-09-11T00:00:00Z,,
254,Cité-de-Jacques-Coutier B.A.23,Quebec,1962-10-29T00:00:00Z,1962-11-24T00:00:00Z,,
255,Lamarche,Quebec,1912-06-01T00:00:00Z,1917-11-20T00:00:00Z,,
256,La Merisière,Quebec,1916-01-01T00:00:00Z,1945-06-01T00:00:00Z,,
257,Granby Sub no. 8,Quebec,1963-11-28T00:00:00Z,,,
258,Granby Sub no. 9,Quebec,1966-02-01T00:00:00Z,,,
259,Gravel,Quebec,1909-10-01T00:00:00Z,1953-10-10T00:00:00Z,,
260,La Tuque,Quebec,1887-04-01T00:00:00Z,,,
261,Gray Valley,Quebec,1927-02-07T00:00:00Z,1964-01-08T00:00:00Z,,
262,Laurierville,Quebec,1860-05-01T00:00:00Z,,,
263,Laurier,Quebec,1900-04-01T00:00:00Z,,,
264,Laval des Rapides,Quebec,1892-02-01T00:00:00Z,,,
265,Laval des Rapides,Quebec,1961-09-11T00:00:00Z,,,
266,Blue Bonnets,Quebec,1887-08-01T00:00:00Z,,,
267,Blue Sea Lake,Quebec,1904-04-01T00:00:00Z,,,
268,Bocage,Quebec,1911-09-18T00:00:00Z,1949-11-12T00:00:00Z,,
269,Boilard,Quebec,1908-12-16T00:00:00Z,1920-06-30T00:00:00Z,,
270,Boileau,Quebec,1881-04-01T00:00:00Z,1969-05-17T00:00:00Z,,
271,Boily,Quebec,1913-12-01T00:00:00Z,1915-08-30T00:00:00Z,,
272,Bois Blanc,Quebec,1905-06-01T00:00:00Z,1916-10-30T00:00:00Z,,
273,Boisbriand,Quebec,1906-09-01T00:00:00Z,1915-09-30T00:00:00Z,,
274,Labissonniere,Quebec,1914-02-01T00:00:00Z,1937-02-01T00:00:00Z,,
275,Delson Station,Quebec,1912-11-28T00:00:00Z,1952-08-29T00:00:00Z,,
276,Delson Village,Quebec,1929-12-01T00:00:00Z,,,
277,Demers,Quebec,1910-04-01T00:00:00Z,1916-04-29T00:00:00Z,,
278,Doyle,Quebec,1879-06-01T00:00:00Z,1919-03-29T00:00:00Z,,
279,Dragon,Quebec,1914-07-01T00:00:00Z,1918-09-05T00:00:00Z,,
280,Drews' Mills,Quebec,1853-11-01T00:00:00Z,,,
281,Drolet,Quebec,1915-01-01T00:00:00Z,1949-11-14T00:00:00Z,,
282,Drouin,Quebec,1917-01-25T00:00:00Z,1948-06-15T00:00:00Z,,
284,Drummondville Sub PO no. 1,Quebec,1939-03-20T00:00:00Z,1946-09-21T00:00:00Z,,
285,Drummondville Sub no. 2,Quebec,1946-10-07T00:00:00Z,,,
286,Lac Charlebois (summer office),Quebec,1901-07-15T00:00:00Z,1949-09-30T00:00:00Z,,
287,Cap à la Branche,Quebec,1913-01-01T00:00:00Z,1968-12-02T00:00:00Z,,
289,Cap  à l'Orignal,Quebec,1958-07-14T00:00:00Z,,,
290,Cap-au-Corbeau,Quebec,1904-07-01T00:00:00Z,1947-06-28T00:00:00Z,,
291,Cap au Renard,Quebec,1897-12-01T00:00:00Z,,,
292,Lac Labelle,Quebec,1920-10-11T00:00:00Z,1955-10-31T00:00:00Z,,
293,Cap aux Meules,Quebec,1875-11-01T00:00:00Z,,,
294,Daaquam,Quebec,1916-06-01T00:00:00Z,,,
295,Beaubarnois Sub no.4,Quebec,1961-07-12T00:00:00Z,1962-06-27T00:00:00Z,,
296,Daaquam Nord,Quebec,1938-03-01T00:00:00Z,1949-03-31T00:00:00Z,,
297,Dablon,Quebec,1886-09-01T00:00:00Z,,,
298,D'Aiguillon,Quebec,1907-12-01T00:00:00Z,,,
299,D'Ailleboust,Quebec,1908-03-23T00:00:00Z,1914-04-07T00:00:00Z,,
301,Beaumont,Quebec,1852-02-06T00:00:00Z,,,
302,Dairy Valley,Quebec,1906-07-01T00:00:00Z,1912-09-30T00:00:00Z,,
303,Beaumont Est,Quebec,1925-09-26T00:00:00Z,1946-07-13T00:00:00Z,,
304,Demers Centre,Quebec,1911-07-15T00:00:00Z,1970-07-31T00:00:00Z,,
305,Demeules,Quebec,1927-04-01T00:00:00Z,1939-11-24T00:00:00Z,,
306,Denholm,Quebec,1932-10-01T00:00:00Z,1951-08-15T00:00:00Z,,
307,Deniau,Quebec,1913-02-01T00:00:00Z,,,
308,Denison's Mills,Quebec,1861-09-01T00:00:00Z,1916-02-01T00:00:00Z,,
309,Denonville,Quebec,1907-06-01T00:00:00Z,1919-09-30T00:00:00Z,,
310,Labonneville,Quebec,1911-08-01T00:00:00Z,1938-10-26T00:00:00Z,,
311,La Boucane,Quebec,1912-06-01T00:00:00Z,1927-10-31T00:00:00Z,,
312,De Queylus,Quebec,1907-06-01T00:00:00Z,,,
313,De Ramsay,Quebec,1853-07-01T00:00:00Z,1915-12-14T00:00:00Z,,
314,Bois de Filion,Quebec,1885-07-01T00:00:00Z,1915-12-01T00:00:00Z,,
315,Drummondville Sub no. 3,Quebec,1946-10-07T00:00:00Z,1957-06-05T00:00:00Z,,
316,Lac Chat,Quebec,1912-08-01T00:00:00Z,1968-04-20T00:00:00Z,,
317,Lac Clair,Quebec,1894-06-01T00:00:00Z,1915-11-30T00:00:00Z,,
318,Lac-Clair (summer office),Quebec,1959-07-02T00:00:00Z,1960-08-31T00:00:00Z,,
319,Drummondville Sub no. 6,Quebec,1946-02-15T00:00:00Z,,,
320,Lac-Cloche (summer office),Quebec,1950-08-01T00:00:00Z,1964-08-31T00:00:00Z,,
321,Drummondville Sub no. 7,Quebec,1953-02-23T00:00:00Z,,,
322,Lac Connelly,Quebec,1933-08-30T00:00:00Z,1969-09-30T00:00:00Z,,
323,East Hill,Quebec,1895-02-01T00:00:00Z,1913-10-31T00:00:00Z,,
324,East Magdala,Quebec,1869-09-01T00:00:00Z,1885-11-01T00:00:00Z,,
325,Eastmain,Quebec,1979-02-20T00:00:00Z,,,
326,Cap aux Oies,Quebec,1914-05-01T00:00:00Z,1969-05-14T00:00:00Z,,
327,Cap Chat,Quebec,1871-11-01T00:00:00Z,,,
328,Lac La Motte,Quebec,1924-06-30T00:00:00Z,1936-06-10T00:00:00Z,,
329,East Pinnacle,Quebec,1900-07-15T00:00:00Z,1913-10-31T00:00:00Z,,
330,East Potton,Quebec,1865-01-01T00:00:00Z,,,
331,Lac Langis,Quebec,1967-09-20T00:00:00Z,,,
332,Lac Long,Quebec,1909-12-01T00:00:00Z,,,
333,Cap de la Madeleine,Quebec,1861-07-01T00:00:00Z,,,
334,D'Alembert,Quebec,1937-08-02T00:00:00Z,1956-10-31T00:00:00Z,,
335,Beauport,Quebec,1854-07-01T00:00:00Z,,,
336,Beauport Est,Quebec,1902-08-01T00:00:00Z,,,
337,Dalesville,Quebec,1853-06-01T00:00:00Z,1930-02-25T00:00:00Z,,
338,"Victoria Postal Station ""A""",British Columbia,1967-11-20T00:00:00Z,,,
339,"Victoria Postal Station ""B""",British Columbia,1968-03-04T00:00:00Z,,,
340,D'Auteuil,Quebec,1879-06-01T00:00:00Z,,,
341,Labrecque,Quebec,1921-02-01T00:00:00Z,1960-06-25T00:00:00Z,,
342,Bois Des Filion,Quebec,1932-07-12T00:00:00Z,,,
343,Labrie,Quebec,1907-06-01T00:00:00Z,1915-06-10T00:00:00Z,,
344,Bois des Hurons,Quebec,1908-03-15T00:00:00Z,1918-03-30T00:00:00Z,,
345,Bois Franc,Quebec,1886-11-01T00:00:00Z,1897-10-19T00:00:00Z,,
346,Bois Franc,Quebec,1889-11-01T00:00:00Z,1897-02-01T00:00:00Z,,
347,Bois Gilbert,Quebec,1912-01-01T00:00:00Z,,,
